,Unnamed: 0,Balikpapan height,Bontang height,Tandjoengbatoe height,Tarakan height,Tawau height,Semporna height,Bongao Island height,Zamboanga height,Pagadian height,General Santos height,Tahuna height,Manado height,Boroko height,Genluma height,Boeol height,Tolotoli height,Palu height,Davao height
8694,873,0.0785180000000025,0.1823160000000001,0.2346884999999998,0.1157579999999995,0.2277313000000003,0.1397176,0.2081939999999988,0.2437620000000038,0.8468499999999999,0.5800699999999779,0.2171200000000084,0.3773969999999984,0.3594139999999974,0.8232538000000007,0.412035000000003,0.5805920000000029,0.1409890000000047,0.2927369999999953
8704,874,0.094583,0.2343310000000009,0.2780204999999993,0.137224999999999,0.2654463000000007,0.1591059999999999,0.2187020000000004,0.2645780000000002,0.8842329999999983,0.5789899999999761,0.2418300000000073,0.4700229999999976,0.4352130000000009,1.0586407999999992,0.506889000000001,0.705445000000001,0.1572710000000015,0.2748610000000013
8714,875,0.081316000000001,0.2071540000000009,0.2354791,0.1177700000000001,0.2374323,0.1408615000000002,0.2166910000000008,0.234377000000002,0.8070379999999986,0.5442099999999925,0.2285399999999953,0.3914410000000003,0.2900150000000003,0.8600588,0.4477699999999913,0.5728019999999994,0.1467749999999981,0.279601999999997
8724,876,0.0911010000000018,0.2219189999999997,0.2532931999999999,0.12683,0.2560643000000002,0.1496737999999999,0.2332700000000009,0.2453849999999988,0.8577960000000004,0.5763199999999813,0.2429699999999997,0.3827809999999978,0.326986999999999,0.9251999999999994,0.4695169999999962,0.6060170000000014,0.1501209999999986,0.2864159999999955
8734,877,0.0928360000000019,0.2180680000000006,0.2572875999999997,0.1308189999999989,0.2599673000000013,0.1544713999999998,0.2335439999999984,0.2616820000000004,0.8851650000000006,0.6013700000000028,0.2604900000000043,0.4306750000000008,0.3978910000000013,1.0272473,0.5004710000000046,0.647863000000001,0.1573580000000021,0.2949179999999956
8744,878,-9.9999e+98,0.1136739999999996,0.1535219999999997,0.0752759999999987,0.1440873000000007,0.0957411000000001,0.1367259999999994,0.146486000000003,0.5840609999999984,0.4281100000000037,0.1775999999999982,0.2733039999999995,0.2145109999999981,0.5429745000000006,0.3188729999999964,0.3746600000000022,0.0920699999999996,0.2226179999999971
8754,879,0.0986919999999997,0.2356080000000009,0.2838379,0.1377620000000003,0.2691293000000012,0.1595004000000002,0.2371939999999988,0.2592479999999995,0.8806219999999989,0.6083699999999794,0.2830799999999982,0.5193639999999995,0.5053819999999973,1.1059491,0.5672999999999888,0.7270089999999989,0.1624930000000048,0.2679819999999964
8764,880,0.1058340000000015,0.2728970000000004,0.3049987999999999,0.1492690000000003,0.3051763000000012,0.1679569,0.2903020000000005,0.2872460000000032,1.0333219999999983,0.7081999999999766,0.2572600000000022,0.4187790000000007,0.2776480000000028,0.8910149999999994,0.5044070000000005,0.687934000000002,0.1613170000000039,0.3763179999999977
8774,881,0.0858740000000004,0.2161039999999996,0.2412006999999993,0.121383999999999,0.242904300000001,0.1435480999999998,0.2192170000000004,0.2344849999999994,0.7825220000000002,0.5382400000000018,0.2376500000000021,0.3866750000000003,0.3638139999999978,0.9165423000000006,0.4932800000000128,0.6163320000000034,0.1446290000000019,0.259647000000001
8784,882,0.1287780000000005,0.3192940000000011,0.3400467999999996,0.1744120000000002,0.3506233000000005,0.1958593999999998,0.3208990000000007,0.3573410000000052,1.160612999999998,0.7879899999999793,0.3389300000000048,0.5430029999999988,0.5759159999999994,1.2984402,0.6957969999999989,0.8351320000000015,0.2021500000000031,0.3654999999999972
8794,883,0.1001590000000014,0.237057,0.2717176999999999,0.1369939999999996,0.2768782999999999,0.1598044999999999,0.2526580000000002,0.2714910000000046,0.9213439999999976,0.6187400000000025,0.2698400000000021,0.4213369999999976,0.361896999999999,1.0045042000000004,0.5255219999999952,0.6621799999999993,0.1617400000000017,0.3121979999999951
