OBJECTID,Shape_Length,START_X,START_Y,END_X,END_Y,Strike,Lat,Long
229,0.008988686,130.0301122,-8.030843448,130.0386815,-8.028129876,72.42899381,-8.029486662,130.0343969
230,0.008988685,130.0386815,-8.028129876,130.0472407,-8.025384369,72.21534289,-8.026757122,130.0429611
231,0.008988686,130.0472407,-8.025384369,130.0557895,-8.022606963,72.00168073,-8.023995666,130.0515151
232,0.008988685,130.0557895,-8.022606963,130.0643279,-8.019797698,71.78802473,-8.02120233,130.0600587
233,0.008988686,130.0643279,-8.019797698,130.0728558,-8.016956613,71.57437178,-8.018377155,130.0685919
234,0.008988685,130.0728558,-8.016956613,130.081373,-8.014083747,71.36071091,-8.01552018,130.0771144
235,0.008988685,130.081373,-8.014083747,130.0898795,-8.011179141,71.14705928,-8.012631444,130.0856262
236,0.008988686,130.0898795,-8.011179141,130.098375,-8.008242833,70.93339384,-8.009710987,130.0941273
237,0.008988686,130.098375,-8.008242833,130.1068596,-8.005274867,70.7197478,-8.00675885,130.1026173
238,0.008988685,130.1068596,-8.005274867,130.115333,-8.002275282,70.50608382,-8.003775074,130.1110963
239,0.008988686,130.115333,-8.002275282,130.1237952,-7.99924412,70.2924276,-8.000759701,130.1195641
240,0.008988685,130.1237952,-7.99924412,130.132246,-7.996181424,70.07877149,-7.997712772,130.1280206
241,0.008988686,130.132246,-7.996181424,130.1406854,-7.993087236,69.86511512,-7.99463433,130.1364657
242,0.008988686,130.1406854,-7.993087236,130.1491131,-7.989961599,69.65145719,-7.991524417,130.1448992
243,0.008988686,130.1491131,-7.989961599,130.1575291,-7.986804557,69.43780289,-7.988383078,130.1533211
244,0.008988685,130.1575291,-7.986804557,130.1659333,-7.983616154,69.22414699,-7.985210355,130.1617312
245,0.008988686,130.1659333,-7.983616154,130.1743256,-7.980396433,69.01048735,-7.982006293,130.1701295
246,0.008988686,130.1743256,-7.980396433,130.1827058,-7.97714544,68.79683207,-7.978770936,130.1785157
247,0.008988685,130.1827058,-7.97714544,130.1910738,-7.973863219,68.58316851,-7.975504329,130.1868898
248,0.008988686,130.1910738,-7.973863219,130.1994295,-7.970549817,68.36951619,-7.972206518,130.1952516
249,0.008988686,130.1994295,-7.970549817,130.2077728,-7.96720528,68.15586389,-7.968877548,130.2036011
250,0.008988685,130.2077728,-7.96720528,130.2161035,-7.963829654,67.94220388,-7.965517467,130.2119382
251,0.008944974,130.2161035,-7.963829654,130.2243858,-7.960450696,67.80565886,-7.962140175,130.2202446
252,0.008944975,130.2243858,-7.960450696,130.2326645,-7.957063149,67.74623142,-7.958756922,130.2285251
253,0.008944974,130.2326645,-7.957063149,130.2409397,-7.953667017,67.686801,-7.955365083,130.2368021
254,0.008944974,130.2409397,-7.953667017,130.2492113,-7.950262304,67.62737483,-7.95196466,130.2450755
255,0.008944974,130.2492113,-7.950262304,130.2574795,-7.946849013,67.56794449,-7.948555658,130.2533454
256,0.008944974,130.2574795,-7.946849013,130.2657441,-7.943427147,67.5085099,-7.94513808,130.2616118
